delta,real_s12,img_s12,s22
-2.286000e+001,-1.091264e-002,-4.773683e-004,1.193421e-004
-2.285000e+001,-1.091740e-002,-4.777854e-004,1.194463e-004
-2.284000e+001,-1.092216e-002,-4.782029e-004,1.195507e-004
-2.283000e+001,-1.092692e-002,-4.786211e-004,1.196553e-004
-2.282000e+001,-1.093169e-002,-4.790397e-004,1.197599e-004
-2.281000e+001,-1.093646e-002,-4.794589e-004,1.198647e-004
-2.280000e+001,-1.094123e-002,-4.798787e-004,1.199697e-004
-2.279000e+001,-1.094601e-002,-4.802990e-004,1.200747e-004
-2.278000e+001,-1.095080e-002,-4.807199e-004,1.201800e-004
-2.277000e+001,-1.095559e-002,-4.811413e-004,1.202853e-004
-2.276000e+001,-1.096038e-002,-4.815633e-004,1.203908e-004
-2.275000e+001,-1.096518e-002,-4.819858e-004,1.204964e-004
-2.274000e+001,-1.096998e-002,-4.824089e-004,1.206022e-004
-2.273000e+001,-1.097478e-002,-4.828325e-004,1.207081e-004
-2.272000e+001,-1.097959e-002,-4.832567e-004,1.208142e-004
-2.271000e+001,-1.098441e-002,-4.836815e-004,1.209204e-004
-2.270000e+001,-1.098922e-002,-4.841068e-004,1.210267e-004
-2.269000e+001,-1.099405e-002,-4.845327e-004,1.211332e-004
-2.268000e+001,-1.099887e-002,-4.849591e-004,1.212398e-004
-2.267000e+001,-1.100370e-002,-4.853861e-004,1.213465e-004
-2.266000e+001,-1.100854e-002,-4.858137e-004,1.214534e-004
-2.265000e+001,-1.101338e-002,-4.862418e-004,1.215605e-004
-2.264000e+001,-1.101822e-002,-4.866705e-004,1.216676e-004
-2.263000e+001,-1.102307e-002,-4.870997e-004,1.217749e-004
-2.262000e+001,-1.102792e-002,-4.875296e-004,1.218824e-004
-2.261000e+001,-1.103278e-002,-4.879600e-004,1.219900e-004
-2.260000e+001,-1.103764e-002,-4.883909e-004,1.220977e-004
-2.259000e+001,-1.104250e-002,-4.888225e-004,1.222056e-004
-2.258000e+001,-1.104737e-002,-4.892546e-004,1.223137e-004
-2.257000e+001,-1.105224e-002,-4.896873e-004,1.224218e-004
-2.256000e+001,-1.105712e-002,-4.901205e-004,1.225301e-004
-2.255000e+001,-1.106200e-002,-4.905544e-004,1.226386e-004
-2.254000e+001,-1.106689e-002,-4.909888e-004,1.227472e-004
-2.253000e+001,-1.107178e-002,-4.914238e-004,1.228559e-004
-2.252000e+001,-1.107667e-002,-4.918593e-004,1.229648e-004
-2.251000e+001,-1.108157e-002,-4.922955e-004,1.230739e-004
-2.250000e+001,-1.108647e-002,-4.927322e-004,1.231831e-004
-2.249000e+001,-1.109138e-002,-4.931695e-004,1.232924e-004
-2.248000e+001,-1.109629e-002,-4.936074e-004,1.234018e-004
-2.247000e+001,-1.110121e-002,-4.940459e-004,1.235115e-004
-2.246000e+001,-1.110613e-002,-4.944849e-004,1.236212e-004
-2.245000e+001,-1.111106e-002,-4.949245e-004,1.237311e-004
-2.244000e+001,-1.111599e-002,-4.953648e-004,1.238412e-004
-2.243000e+001,-1.112092e-002,-4.958056e-004,1.239514e-004
-2.242000e+001,-1.112586e-002,-4.962470e-004,1.240617e-004
-2.241000e+001,-1.113080e-002,-4.966890e-004,1.241722e-004
-2.240000e+001,-1.113575e-002,-4.971316e-004,1.242829e-004
-2.239000e+001,-1.114070e-002,-4.975747e-004,1.243937e-004
-2.238000e+001,-1.114565e-002,-4.980185e-004,1.245046e-004
-2.237000e+001,-1.115061e-002,-4.984628e-004,1.246157e-004
-2.236000e+001,-1.115558e-002,-4.989078e-004,1.247269e-004
-2.235000e+001,-1.116055e-002,-4.993533e-004,1.248383e-004
-2.234000e+001,-1.116552e-002,-4.997995e-004,1.249499e-004
