tempo,real_s12,img_s12,s22
2.570000e-007,4.805483e-002,-9.061822e-003,2.402906e-003
2.580000e-007,4.800533e-002,-9.054065e-003,2.397986e-003
2.590000e-007,4.795619e-002,-9.050914e-003,2.393190e-003
2.600000e-007,4.790781e-002,-9.052236e-003,2.388553e-003
2.610000e-007,4.786059e-002,-9.057868e-003,2.384109e-003
2.620000e-007,4.781487e-002,-9.067613e-003,2.379889e-003
2.630000e-007,4.777099e-002,-9.081249e-003,2.375920e-003
2.640000e-007,4.772925e-002,-9.098527e-003,2.372226e-003
2.650000e-007,4.768994e-002,-9.119177e-003,2.368831e-003
2.660000e-007,4.765330e-002,-9.142908e-003,2.365751e-003
2.670000e-007,4.761954e-002,-9.169417e-003,2.363003e-003
2.680000e-007,4.758886e-002,-9.198383e-003,2.360597e-003
2.690000e-007,4.756140e-002,-9.229478e-003,2.358542e-003
2.700000e-007,4.753729e-002,-9.262369e-003,2.356844e-003
2.710000e-007,4.751662e-002,-9.296716e-003,2.355504e-003
2.720000e-007,4.749943e-002,-9.332179e-003,2.354522e-003
2.730000e-007,4.748576e-002,-9.368423e-003,2.353893e-003
2.740000e-007,4.747560e-002,-9.405115e-003,2.353610e-003
2.750000e-007,4.746892e-002,-9.441930e-003,2.353664e-003
2.760000e-007,4.746565e-002,-9.478555e-003,2.354043e-003
2.770000e-007,4.746570e-002,-9.514687e-003,2.354733e-003
2.780000e-007,4.746895e-002,-9.550040e-003,2.355716e-003
2.790000e-007,4.747528e-002,-9.584343e-003,2.356975e-003
2.800000e-007,4.748452e-002,-9.617341e-003,2.358489e-003
2.810000e-007,4.749650e-002,-9.648804e-003,2.360238e-003
2.820000e-007,4.751101e-002,-9.678517e-003,2.362197e-003
2.830000e-007,4.752785e-002,-9.706292e-003,2.364344e-003
2.840000e-007,4.754680e-002,-9.731961e-003,2.366654e-003
2.850000e-007,4.756763e-002,-9.755379e-003,2.369101e-003
2.860000e-007,4.759009e-002,-9.776428e-003,2.371661e-003
2.870000e-007,4.761395e-002,-9.795010e-003,2.374308e-003
2.880000e-007,4.763895e-002,-9.811055e-003,2.377016e-003
2.890000e-007,4.766484e-002,-9.824515e-003,2.379762e-003
2.900000e-007,4.769137e-002,-9.835364e-003,2.382519e-003
2.910000e-007,4.771831e-002,-9.843600e-003,2.385265e-003
2.920000e-007,4.774540e-002,-9.849246e-003,2.387977e-003
2.930000e-007,4.777241e-002,-9.852341e-003,2.390634e-003
2.940000e-007,4.779913e-002,-9.852947e-003,2.393214e-003
2.950000e-007,4.782533e-002,-9.851144e-003,2.395699e-003
2.960000e-007,4.785081e-002,-9.847031e-003,2.398070e-003
2.970000e-007,4.787539e-002,-9.840721e-003,2.400313e-003
2.980000e-007,4.789888e-002,-9.832343e-003,2.402412e-003
2.990000e-007,4.792113e-002,-9.822038e-003,2.404354e-003
3.000000e-007,4.794199e-002,-9.809960e-003,2.406129e-003
3.010000e-007,4.796133e-002,-9.796270e-003,2.407728e-003
3.020000e-007,4.797904e-002,-9.781140e-003,2.409142e-003
3.030000e-007,4.799504e-002,-9.764746e-003,2.410367e-003
3.040000e-007,4.800923e-002,-9.747270e-003,2.411399e-003
3.050000e-007,4.802158e-002,-9.728895e-003,2.412235e-003
3.060000e-007,4.803203e-002,-9.709809e-003,2.412875e-003
3.070000e-007,4.804056e-002,-9.690195e-003,2.413320e-003
3.080000e-007,4.804716e-002,-9.670236e-003,2.413574e-003
3.090000e-007,4.805186e-002,-9.650114e-003,2.413641e-003
3.100000e-007,4.805467e-002,-9.630003e-003,2.413527e-003
3.110000e-007,4.805563e-002,-9.610071e-003,2.413238e-003
3.120000e-007,4.805480e-002,-9.590481e-003,2.412784e-003
3.130000e-007,4.805225e-002,-9.571385e-003,2.412173e-003
3.140000e-007,4.804805e-002,-9.552929e-003,2.411417e-003
3.150000e-007,4.804231e-002,-9.535244e-003,2.410526e-003
3.160000e-007,4.803512e-002,-9.518453e-003,2.409513e-003
3.170000e-007,4.802659e-002,-9.502668e-003,2.408390e-003
3.180000e-007,4.801684e-002,-9.487986e-003,2.407171e-003
3.190000e-007,4.800599e-002,-9.474494e-003,2.405870e-003
3.200000e-007,4.799418e-002,-9.462264e-003,2.404499e-003
3.210000e-007,4.798153e-002,-9.451355e-003,2.403073e-003
3.220000e-007,4.796818e-002,-9.441815e-003,2.401606e-003
3.230000e-007,4.795427e-002,-9.433676e-003,2.400111e-003
3.240000e-007,4.793993e-002,-9.426959e-003,2.398603e-003
3.250000e-007,4.792530e-002,-9.421672e-003,2.397094e-003
3.260000e-007,4.791052e-002,-9.417810e-003,2.395597e-003
3.270000e-007,4.789570e-002,-9.415357e-003,2.394124e-003
3.280000e-007,4.788098e-002,-9.414285e-003,2.392686e-003
3.290000e-007,4.786648e-002,-9.414556e-003,2.391296e-003
3.300000e-007,4.785231e-002,-9.416121e-003,2.389962e-003
3.310000e-007,4.783859e-002,-9.418923e-003,2.388694e-003
3.320000e-007,4.782540e-002,-9.422896e-003,2.387500e-003
3.330000e-007,4.781285e-002,-9.427965e-003,2.386388e-003
3.340000e-007,4.780102e-002,-9.434052e-003,2.385365e-003
3.350000e-007,4.778997e-002,-9.441068e-003,2.384436e-003
